File,Type,Semester,Moed,Questions,Solution status,Duplicate of,Inspection status,Spring 2026 status
docs/הרצאות.md (Raviv lecture notes),Current lectures,"Spring 2026 (אביב תשפ""ו)",,19 chapters / 123 pp equivalent; TOC lines 7-81,N/A,,Fully read (TOC + Part I); text-layer clean,"Examinable — current lectures (Raviv). Excluded sections: §9.8.1 MGF, §18 Gaussian vector, §19.1.3 + §19.3 almost-sure convergence / SLLN"
650108f3 (Syllabus),Current syllabus,"Spring 2026 (אביב תשפ""ו)",,21 numbered topics,N/A,,Fully read - AUTHORITY on examinable scope,"Examinable — AUTHORITY, as amended by Louidor's official announcement. Syllabus items 3 (Borel-Cantelli), 17 (MGF) and 19 (Chernoff) are now OFFICIALLY EXCLUDED"
8170482b (דף נוסחאות),Formula sheet,"Spring 2025 (תשפ""ה)",,1 page,N/A,,Read; provided in exam,Examinable — provided in exam. Ignore the MGF column
cbdd9faa (Discrete+Continuous Distributions table),Distribution sheet,undated (English),,2 pages,N/A,,Read; provided in exam,Examinable — provided in exam. Ignore the MGF column; Beta row excluded
24e7d8a5 (Louidor lecture notes),Legacy lectures (Louidor's own),"Spring 2022 (אביב תשפ""ב)",,90 pp,N/A,,Skimmed + keyword-profiled. Use ONLY to see how Louidor phrases theory,"Requires inspection — legacy Louidor notes (Spring 2022). Contains excluded material (Jacobians, MGF). Use only for phrasing, not scope"
49d5c3cf (פתרון תרגיל חזרה קומבינטוריקה),Current tutorial (T0),Spring 2026,,combinatorics review,Full solutions,,Read,Examinable
832a69d8 (פתרון מערך תרגול 1),Current tutorial (T1),Spring 2026,,Q1-Q4,Full solutions,,Read,Examinable
c7451484 (פתרון מערך תרגול 2),Current tutorial (T2),Spring 2026,,Q1-Q5,Full solutions,,Read,Examinable
6195075d (פתרון מערך תרגול 3),Current tutorial (T3),"Spring 2026 (אביב תשפ""ו)",,Q1-Q6,Full solutions,,Read,Examinable
d25ed276 (מערך תרגול 4),Current tutorial (T4),"Spring 2026 (אביב תשפ""ו)",,Q1-Q5,Worked in-text,,Read,Examinable
22602972 (תרגיל כיתה 5),Current tutorial (T5),Spring 2026,,Q1-Q4,Worked in-text,,Read,Examinable
a2c4e67c (תרגול 6),Current tutorial (T6),Spring 2026,,Q1-Q5,Worked in-text,,Read,Examinable
