Skill,Diagnostic question,What successful understanding looks like,Warning signs,Repair source
F14 Indicator method for expectation,2023spB Q1d (a1e1cda2): expected number of unthreatened rooks,"You write X = sum of I_k within 30 seconds, state that linearity needs no independence, compute P(A_1) once and multiply by n. You never attempt to find the distribution of X.",You try to find the PMF of X; you check whether the indicators are independent before using linearity; you cannot say what I_k indicates in words,T6 (a2c4e67c) — six indicator exercises; Raviv §9.4
F15 Variance of dependent indicators,2024wA Q1e (df62117f): variance of the number of zeros in a k x n binary matrix,"You immediately split E(X^2) into diagonal and off-diagonal terms, enumerate the overlap classes, and count the ordered pairs in each. Your pair counts sum to N(N-1).","You write Var(X) = sum Var(I_k) and stop; you use C(N,2) where you needed N(N-1); you cannot list the overlap classes",T7 (ed2dc23f); 07 Procedure A; then redo 2021spA Q7b
F28 Conditional expectation and the tower law,"2023spB Q4a (a1e1cda2): E[Y_1], the expected length of a bolt the machine produces","You write E(Y_1|X=x) = x, note that E(Y_1|X) = X is a random variable, and conclude E(Y_1) = E(X) = 0 in three lines",You treat E(Y_1|X) as a number; you try to integrate the joint density directly; you cannot state the smoothing formula,"T7 and T11 (6d032398); Raviv §9.7, §17.3"
F47 Complete the square in a normal integral,2023spB Q4b (a1e1cda2): find the density of Y_1,"You multiply the two normal kernels, collect the exponent as a quadratic in x, complete the square, pull the y-dependent constant out, and recognise the remaining integral as a normal density equal to 1. You get N(0,2).",You attempt the integral by substitution or by parts; you lose the prefactor; your answer does not integrate to 1 in y,"T9 (4924c945), T10 (e8f2b111); Raviv §12, §14.2"
F08 Continuous Bayes — density given an event,2023spA Q3e (769b5b18): find f_{U | T>t}(u),"You write f_{U|A}(u) = P(A|U=u) f_U(u) / P(A), recognise P(A) = 1 - F_T(t) from subpart (c), and your answer integrates to 1 over [1,2]",You condition on {T = t} instead of {T > t}; you leave the answer unnormalised; you cannot say where the denominator comes from,T11 (6d032398); Raviv §15; 07 Procedure B step 5
F21 Conditional density with a posterior interpretation,2023spB Q4c (a1e1cda2): find f_{X|Y_1}(x|y),"You divide the joint by the marginal from (b), complete the square in x, and identify N(y/2, 1/2). You can say in words why the posterior mean is half the observation.",You normalise over the wrong variable; your conditional density does not integrate to 1 in x; you cannot interpret the shrinkage,T11; 07 Procedure D steps 4 and validity checks
F48 Conditional independence given a latent variable,2023spB Q4e (a1e1cda2): E(Y_2 | Y_1 = y),"You write E(Y_2 | Y_1=y, X=x) = E(Y_2 | X=x) = x by conditional independence, then smooth over the POSTERIOR of X given Y_1=y to get y/2",You treat Y_1 and Y_2 as unconditionally independent and answer 0; you smooth over the prior of X instead of the posterior,"T11; Raviv §15, §17.3"
F33 Order statistics via the CDF,"2024wB Q1a,b (83f1db1c): P(X <= x) and the PMF of the maximum of n dice","You go through the CDF automatically, then difference P(X<=x) - P(X<=x-1) without hesitation",You try to write a density formula for the max; you use P(X=x) = (x/6)^n; you forget that independence is required for the product,T9 (4924c945); 07 Procedure F; then 2019spA Q11
F17 CDF method for a transformation,2024wB Q2b (83f1db1c): density of X = U + V for two independent uniforms,"You start from P(X <= x), sketch the region u+v <= x in the unit square, get a piecewise F_X, differentiate, and verify the density integrates to 1",You reach for a change-of-variables formula first; your density is not piecewise; you do not check that it integrates to 1,"T8 (82c0ba5e), T11; 07 Procedure E"
F25 Convolution with intersected supports,"2020spB-sol Q6 (390bc55f): f_Z(b) for Z = X + Y, X ~ U[1,3], Y ~ U[0,a]","You write both indicator constraints inside the integral, intersect them into min(3,b) and max(1,b-a), and split into cases where the branches switch",You use constant limits 1 to 3; you get a single-formula answer with no case split; the result does not integrate to 1,T11; 07 Procedure E step 5
