Current lecture/tutorial example,Related Louidor exam questions,Shared functionality,How the exam disguises or extends it,Spring 2026 transfer status
T0 (49d5c3cf) — combinatorics review,"2023spB Q1a,b,c (rooks); 2024wA Q1a,b,c (binary vectors); 2017spB Q1; 2019spA Q1","F02, F04",The exam embeds counting as subparts (a)-(c) and pivots to indicators in (d)-(e); it also offers a hypergeometric re-model as an alternative route,Examinable — all cited subparts transfer
"T1 (832a69d8) Q1-Q4 — sample space, sigma-algebra, probability measure, inclusion-exclusion",2022spC Q10; 2019spA Q1; 2024wA Q1b (complement route),"F03, F04, F38","The exam asks for a number, never for the axioms; inclusion-exclusion arrives with symmetry so the sum collapses to binomial coefficients","Examinable — but 2022spC is multiple-choice format, retained as a construction bank only"
"T2 (c7451484) Q1,Q3,Q4,Q5 — conditional probability, multiplication rule, total probability, Bayes, independence","2023spA Q1b; 2023spB Q3d,e; 2023spB Q4c; 2024wB Q3b; 2018wB Q6","F05, F06, F07, F09",Bayes is never labelled; it arrives as a conditional density (2023spB Q4c) or as 'given the student got a correct link',Examinable — all cited subparts transfer
"T3 (6195075d) Q1-Q4,Q6 — Bernoulli trials, binomial, geometric, hypergeometric","2023spA Q1c; 2024wB Q3c,e; 2021spB Q1; 2023spB Q3b; 2019spB Q6","F11, F12, F13",The success probability is computed geometrically (area ratio) rather than given; the geometric then appears only through E(X|X>=5) = 4 + E(X),Examinable — all cited subparts transfer
"T4 (d25ed276) Q1-Q5 — random variables, PMF, CDF",2024wB Q1b; 2024wB Q3c; 2021spA Q5b,"F17, F33",The exam never says 'find the PMF' in isolation; it comes after two subparts that set up the conditional probabilities you need,Examinable — all cited subparts transfer
"T5 (22602972) Q1-Q4 — conditional PMF, independence of RVs, expectation; multinomial (12 mentions)",2021spA Q5a (prove independence); 2019spB Q9; 2021spB Q4 route ב' only,"F23, F43",Multinomial's main exam role was as the fallback route inside Poisson-splitting questions,MIXED — F23 (independence proofs) transfers fully. The multinomial drill loses most of its exam relevance because 2021spB Q4's primary route (splitting) is EXCLUDED; only route ב' is partially relevant
"T6 (a2c4e67c) Q1-Q5 — expectation, linearity, indicator method (6 items)",2023spA Q2b; 2023spB Q1d; 2024wA Q1d; 2021spA Q7a; 2020spB-sol Q5,"F14, F10","The exam wraps it in combinatorial stories and always follows immediately with the variance version, which the tutorial does not drill as deeply",Examinable — HIGHEST-TRANSFER TUTORIAL IN THE COURSE
"T7 (ed2dc23f) Q3,Q4,Q5 — conditional expectation, smoothing, variance, covariance","2023spA Q3b; 2023spB Q4a,d,e; 2021spA Q5c; 2024wB Q1-3 setups; 2018wA Q3; 2023spA Q4c","F27, F28, F15, F29, F48","Smoothing is never named; it arrives as 'a bolt was measured at length y, what is the expected length of the next one'","MIXED — F27/F28/F15/F29/F48 transfer fully. Covariance applied to 2023spA Q4c transfers, but the follow-on subpart Q4d (writing the 2x2 joint normal) is EXCLUDED"
"T8 (82c0ba5e) Q1-Q4 — continuous RVs, density, CDF, uniform","2024wB Q2a,b; 2022spC Q8; 2021spA Q6a; 2020spB-sol Q6","F17, F16, F18","The exam asks you to PROVE a uniform result rather than use it, and to handle two uniforms with different ranges where the convolution limits must be split",Examinable — all cited subparts transfer
"T9 (4924c945) Q1-Q4 — expectation, variance, known continuous distributions",2024wA Q2a-d; 2023spB Q2a; 2023spB Q4b (normal integral); 2019spA Q2; 2018wB Q9,"F40, F41, F13, F26, F47","The exam asks for the n-th normal moment via a recursion and integration by parts, not for the second moment from a table",MIXED — the moment and normal-density work transfers fully. Any subpart that would name a multivariate normal is EXCLUDED
"T10 (e8f2b111) Q1-Q4 — joint distribution, joint density, marginals, conditional density","2020spB-sol Q2,Q2'; 2020spA-sol Q12; 2023spB Q4b; 2022spC Q6,Q7; 2018wB Q3,Q12","F18, F19, F20, F21, F22","The exam gives a joint density whose SUPPORT CONSTRAINT is the whole difficulty, and expects you to recognise Gamma x Uniform inside the joint rather than integrating","Examinable — NOTE this file is headed חורף תשפ""ד and is reused material; confirm scope with the lecturer"
