Functionality,Topic,Recognition clues,Required output,Main method,Prerequisites,Common traps,Current-course sources,Exam sources,Spring 2026 priority,Spring 2026 status,Revision note
F01 Translate a verbal story into events / random variables,Foundations,Any word problem; 'what is the probability that…'; several interacting objects,"A named event or RV with an explicit verbal definition ('Let A = …', 'Let X = number of …')",Name every object before computing. Prefer defining an RV over building Ω explicitly,none,Defining X ambiguously (e.g. 'number of draws' - including or excluding the last draw?); silently switching definitions between subparts,"T1 Q1-Q4; T4 Q1-Q5; Raviv §1, §2",EVERY open question. 2023spA Q1a; 2024wB Q3c; 2021spB Q5a,Critical,Examinable,
F02 Choose an appropriate probability model (equally-likely vs. constructed),Probability space,"'chosen at random', 'each arrangement equally likely', 'uniformly'","Either |A|/|Ω| with both sets described, or an arithmetic route with no explicit Ω",Equally-likely space when finite and symmetric; otherwise multiplication rule / total probability,Combinatorics (T0),Mixing an ordered numerator with an unordered denominator; assuming uniformity that is not stated,T0 combinatorics; T1; Raviv §1.1 remark 'ordered vs unordered',"2023spB Q1a-c (rooks, explicitly shows both ordered and unordered routes); 2024wA Q1b (three equivalent routes); 2017spB Q1",Critical,Examinable,
F03 Rewrite an event using a complement,Probability space,"'at least one', 'not all', 'some row/column contains…'",P(A) = 1 - P(A^c) with A^c described verbally,"Complement + independence, or complement + inclusion-exclusion",F01,Forgetting that 'not all identical' is not the same as 'all different'; complementing inside a conditional by mistake,T1 Q on inclusion-exclusion; Raviv §1.2 example (Alsace wineries),2024wA Q1b (P(B)=1-P(B^c)); 2024wB Q4c; 2022spC Q1; Raviv §1.2 ex.2,Critical,Examinable,
"F04 Inclusion-exclusion (2 sets, n sets, with symmetry)",Probability space,Union of several overlapping events; 'at least one of…',Numeric probability or a closed-form sum,P(∪A_i) = Σ - Σ + …; use symmetry to collapse to binomial coefficients times a common term,F03,"Losing the alternating sign; forgetting the C(n,k) multiplicity when using symmetry",T1; Raviv §1.2 Claim 1.4,"2022spC Q10 (expressing 'exactly 2 of 3'); 2019spA Q1 (divisible by 2, not by 3, not by 8)",High,Examinable,
F05 Decide what to condition on,Conditional probability,A two-stage experiment; 'first … then …'; a parameter that is itself random,A clean statement 'condition on X = x' followed by a tractable conditional law,Condition on the quantity that makes the rest independent / classical,F01,Conditioning on something that does not simplify; conditioning on a zero-probability event without using densities,"T2; T5; T11; Raviv §1.3, §15",2023spA Q3 (condition on U); 2024wB Q4 (condition on N); 2021spA Q4; 2019spB Q5,Critical,Examinable,
F06 Law of total probability (discrete and continuous versions),Conditional probability,"'The rate itself is random'; 'first draw N, then…'",P(A) = Σ P(A|B_n)P(B_n) or ∫ P(A|U=u) f_U(u) du,Partition Ω; verify the partition covers everything,F05,Using the discrete formula where the conditioning variable is continuous; partition not exhaustive,"T2; T11; Raviv §1.3.1, §15",2023spA Q3c (∫ version); 2024wB Q4c; 2021spA Q2 (continuous analogue); 2021spB Q5c,Critical,Examinable,PROMOTED: now the only route to results previously reachable by quoting Poisson splitting
F07 Bayes' rule - discrete,Conditional probability,"'Given that the result was positive/won/…, what is the probability that…'",A posterior probability,Bayes with total probability in the denominator,F06,Inverting the conditioning direction; forgetting the denominator's full partition,T2; Raviv §1.3.1 Thm 1.10,2020spA-sol Q6 (covid test); 2018wB Q6 (mad-goat disease); 2020spB-sol Q4'; 2018wA Q16,High,Examinable,
F08 Continuous Bayes / density of a parameter given an event,Conditional distributions,'Find f_{U | T>t}(u)'; 'the conditional density of X given …',"A density in u, correctly normalised",f_{U|A}(u) = P(A|U=u) f_U(u) / P(A),"F06, F17",Leaving the answer unnormalised; forgetting the support restriction imposed by A,T11; Raviv §15,2023spA Q3e (EXACT template); 2019spB Q11; 2021spB Q2 (Gamma via Bayes),Critical,Examinable,PROMOTED to top-5: carried by 2023spA Q3e and 2023spB Q4c
F09 Multiplication (chain) rule for sequential draws,Conditional probability,Drawing without replacement; a colour/state that changes after each draw,A product of conditional probabilities,P(A_1…A_n)=P(A_1)P(A_2|A_1)…,F05,Using the same probability at every step when the urn composition changes,T2; Raviv §1.3 Claim 1.8(5),2024wB Q3c (balls repainted white); 2023spB Q1; 6637-sol ת'Q1 (urn R red / B blue),High,Examinable,
F10 Symmetry / exchangeability shortcut,Probability space,"'the k-th ball drawn', 'a specific card', 'the first rook'","A one-line answer justified by symmetry, plus a combinatorial cross-check","Argue all positions are exchangeable, so P(k-th) = P(1st)",F02,Claiming symmetry when the objects are NOT exchangeable (e.g. after conditioning on an asymmetric event),T2; Raviv §1.3.1 ex.2 (P(B2)=P(B1)),2023spB Q3a (ace of hearts with North - 'can also be obtained directly by symmetry'); 2024wA Q1d (E(X0)=E(X1) by symmetry); 6637-sol ת'Q1b,High,Examinable,
F11 Bernoulli-trial recognition and the four derived distributions,Discrete distributions,'independent repeated trials'; 'until the first success'; 'exactly k successes',Bin / Geo / NegBin / Multinomial with explicit parameters,Wrap the outcome as success/failure; check p is the same each trial,F01,Geometric off-by-one (counting the successful trial or not); using Bin when sampling is without replacement (should be HG),"T3 (whole tutorial); Raviv §1.4, §3",2023spA Q1c (Geo(3/4)); 2024wB Q3e (sum of geometrics); 2019spB Q6; 2018wA Q1,Critical,Examinable,
F12 Hypergeometric recognition,Discrete distributions,"'without replacement', 'a hand of 13 cards', 'k of the n chosen items are special'","HG(N,G,n) with parameters named",Count 'good' items among a sample drawn without replacement,F02,"Using Bin instead of HG; mislabelling which of N,G,n is which",T3; distribution sheet cbdd9faa,2023spB Q3b-e (explicit HG route); 2024wA Q1a-c (HG route offered as 'דרך ב'); 2019spA Q13,High,Examinable,
F13 Memorylessness (geometric and exponential),Discrete/continuous distributions,'given that it has already lasted more than t'; 'given at least k throws',"E(X | X ≥ k) = (k-1) + E(X), or P(X>t+s|X>s)=P(X>t)",Quote the memoryless property and shift,F11,Applying it to a non-memoryless law; forgetting the shift constant,T3; T9; Raviv §4,2021spB Q1 (E(X|X≥5)=4+E(X)); 2019spA Q10 (P(Y<5|Y≥3)),High,Examinable,
F14 Indicator method for expectation,Expectation,'expected number of …' where the objects are similar but possibly dependent,E(X)=Σ E(I_k)=Σ P(A_k),Write X as a sum of indicators; use linearity (independence NOT required),F01,Trying to find the distribution of X first; assuming independence unnecessarily,T6 (6 indicator exercises); Raviv §9.4,2023spA Q2b; 2023spB Q1d; 2024wA Q1d; 2021spA Q7a; 2020spB-sol Q5; 8598-sol Q12,Critical,Examinable,
F15 Variance of a sum of DEPENDENT indicators,Variance & covariance,'variance of the number of …' after an indicator-based expectation,"Var(X)=Σ Var(I_k) + Σ_{k≠j} Cov(I_k,I_j), with Cov computed from P(A_k ∩ A_j)",E(I_k I_j)=P(A_k ∩ A_j); enumerate the overlap cases,F14,"Assuming independence and dropping the covariance terms; miscounting how many ordered pairs (k,j) fall in each overlap class",T7 (covariance); Raviv §10.4,2023spA Q2c; 2023spB Q1e; 2024wA Q1e (three overlap classes: same cell / same row / disjoint); 2021spA Q7b; 6637-sol ת'Q3 (coins in a circle - adjacent overlap),Critical,Examinable,
F16 Find a normalisation constant,Continuous RVs,'for an appropriate constant c'; density given up to a constant,c such that the integral over the support equals 1,Integrate over the drawn support; solve for c,F18,Integrating over the wrong support; forgetting the Jacobian if you substituted,T8; T10; Raviv §11,2020spA-sol Q12 (f = c e^{-(ax+by)}); 2018wA Q2; 8598-sol Q5,High,Examinable,
"F17 Find a CDF, then differentiate to get a density",Continuous RVs / transformations,'find the density of Y = g(X)'; a min/max; a mod-1 wrap; a piecewise definition,"F_Y(y) then f_Y(y)=F_Y'(y), with the support stated",Always go via {Y ≤ y} rewritten as an event about X,"F01, F18",Differentiating before restricting to the support; forgetting |dx/dy| when doing a direct change of variables; missing the flat pieces of F,"T8; T9; T11 (8 transformation items); Raviv §5, §13, §13.4","2024wB Q2b-e (density of U+V, U-V, (U+V) mod 1, (W+V) mod 1); 2018wA Q7; 2018wB Q10; 2021spA Q6a",Critical,Examinable,
F18 Draw the support of a joint distribution,Joint distributions,"f_{X,Y} given with a constraint like 0<x<y<∞, |x|<y, or 'uniform on a triangle'","A labelled sketch of the region in the (x,y) plane","Sketch first, integrate second",none,Integrating x from 0 to ∞ when x<y binds; not noticing the region is a triangle with a sloped edge,T10; T11; Raviv §14,2020spB-sol Q2 (0<x<y<∞); c2adcfa6 Q1 (uniform on a triangle - solution explicitly says 'it is recommended to sketch the triangle'); 2018wA Q3; 2022spC Q6,Critical,Examinable,
F19 Determine and split double-integral limits,Joint distributions,"Computing P(2X<Y), P(X≤0.5, Y>1), or a marginal from a joint density","Correct inner/outer limits, split into cases if the region changes","Fix the outer variable, read the inner range off the sketch",F18,Constant limits where they should depend on the other variable; not splitting when min/max switches branch,T10; T11,2020spA-sol Q12 (P(2X<Y)); 2020spB-sol Q6 (f_Z(b) with min/max limits); 2022spC Q8,Critical,Examinable,
F20 Marginal distribution from a joint (discrete and continuous),Joint distributions,'find f_Y(y)' / 'find p_X(x)' when the joint is given,A density/PMF with support,Integrate/sum out the other variable over the correct range,"F18, F19",Integrating over the full line instead of the support,"T10; Raviv §6.1, §14.2","2020spB-sol Q2 (marginal of X is Gamma(2,2)); 2022spC Q6; 8598-sol Q5",Critical,Examinable,PROMOTED from Critical-tier-2: the marginal-by-integration step is now the main route in the replacement Core question 2023spB Q4b
F21 Conditional distribution of one RV given another,Conditional distributions,'the conditional distribution of Y given X=x is …' or 'find f_{Y|X}',"f_{Y|X}(y|x)=f_{X,Y}(x,y)/f_X(x), with the x-dependent support",Divide by the marginal; keep the support conditional on x,F20,Forgetting the support depends on x; treating f_{Y|X} as a function of x when normalising,"T11; Raviv §7, §15","2023spA Q3 (T|U=u ~ Exp(u)); 2020spA-sol Q3 (Y|X=x ~ U(ax,bx)); 2020spB-sol Q2 ('from uniqueness of the density we immediately get Y|X=x ~ Uni(0,x)')",Critical,Examinable,
F22 Recognise a known conditional structure inside a joint density,Joint distributions,A joint density that factorises as f_X(x)·f_{Y|X}(y|x) with both factors standard,"'X ~ Gamma(2,2) and Y|X=x ~ Uni(0,x)' - stated, not integrated",Pattern-match the joint against known density formulas,"F20, F21",Grinding out the integrals when pattern-matching is immediate; missing that the Gamma kernel is hiding a factor of x,"T10; T11; Raviv §14, §15","2020spB-sol Q2 ('כמו שראינו בתרגול, מיחידות של פונקציית הצפיפות נקבל מיידית'); 2018wA Q14",Moderate,Examinable,"Gamma remains examinable; ONLY the Poisson-Gamma relationship is excluded, and this functionality does not use it"
F23 Test independence of random variables,Independence,'are X and Y independent? prove your answer',"A proof: either factorisation for ALL (x,y), or one counterexample pair","f_{X,Y}=f_X f_Y AND rectangular support; or p(x,y)=p(x)p(y) for all pairs",F20,Concluding independence from Cov=0; ignoring a non-rectangular support (which alone kills independence),"T5; T10; Raviv §8, §16",2021spB Q7c (are X and Y independent? prove); 2021spA Q5a (prove X2 and X3-X2 independent); 2024wB Q1e,Critical,Examinable,
F24 Distribution of a transformation of one RV,Transformations,"Y = X^3, Y = e^X, Y = floor(X), Y = 1 - 0.5√(4-X²)",PMF/density/CDF of Y,CDF method (F17); or monotone change of variables with |dx/dy|,F17,Non-monotone g (must split the domain); forgetting absolute value of the derivative,T9; T11; Raviv §5,"2018wA Q7 (piecewise X³/X²); 2018wB Q10; 2020spA-sol Q8 (Y=min(⌊X⌋,b))",High,Examinable,PROMOTED: was covered only by an Extra item; now explicitly in the Extra set as mandatory
F25 Sum of independent RVs / convolution,Transformations,"Z = X + Y with X,Y independent","Density of Z, possibly piecewise",f_Z(z)=∫ f_X(x) f_Y(z-x) dx; watch both indicator constraints,"F17, F19","Not intersecting the two supports, giving a density that is not piecewise; forgetting to check ∫f_Z = 1","T11 (convolution ×3); Raviv §8.1, §16.1",2024wB Q2b (U+V); 2020spB-sol Q6; 2018wA Q10 (X-Y for exponentials); 8598-sol Q6,Critical,Examinable,
F26 Sums of independent normals / linear combinations,Normal distribution,"Several independent N(0,1) weights summed along a path",A named normal with computed mean and variance,Sum of independent normals is normal; Var adds,F27,Adding standard deviations instead of variances; forgetting cross-covariances when the summands share terms,T9; Raviv §18,"2023spA Q4a,b,e (tree with N(0,1) edge weights); 2019spB Q15 (SAME tree skeleton with Exp weights); 8598-sol Q16",High,Examinable — PARTIALLY,"Sums/linear combinations of independent normals remain examinable. The claim ""a linear image of a normal VECTOR is jointly normal"", and writing a 2x2 covariance matrix, are EXCLUDED (multivariate normal)"
F27 Covariance and correlation coefficient,Covariance,"'find Cov(X,Y)' / 'find ρ'","A number or formula; ρ ∈ [-1,1]","Cov(X,Y)=E(XY)-E(X)E(Y); bilinearity for sums; ρ=Cov/(σ_X σ_Y)","F14, F15",Forgetting bilinearity lets you split a covariance of two sums into shared terms only; sign errors,"T7 (5 covariance items); Raviv §10.4, §10.6","2023spA Q4c (Cov = 3 - d/2); 2021spA Q5c (ρ(X2,X3)); 2021spB Q4 (ρ via Poisson splitting); 2018wA Q3",Critical,Examinable,
F28 Conditional expectation and the tower (smoothing) law,Conditional expectation,"'first draw N, then…'; E(X) where X depends on a random parameter",E(X)=E(E(X|Y)),"Compute E(X|Y=y) as a function of y, then take expectation over Y","F05, F21",Treating E(X|Y) as a number instead of a random function of Y; forgetting to average,"T7; T11; Raviv §9.6, §9.7, §17.3",2023spA Q3b; 2024wA Q4a; 2024wB Q4b; 2022spC Q4; 2021spA Q6c; 2020spB-sol Q1,Critical,Examinable,
F29 Conditional variance and the EVE law,Conditional variance,Variance of a two-stage quantity,Var(X)=E(Var(X|Y))+Var(E(X|Y)),Compute both pieces separately,F28,Dropping the second term; computing Var(E(X|Y)) as E(Var(...)),T7; Raviv §10.5,"Weakly represented in the exams in this folder - see 09 route, 'poorly represented topics'",High,Examinable,"PROMOTED from Moderate: with MGFs and Poisson processes removed, conditional variance is now one of the few examinable topics with no exam precedent, which raises rather than lowers its expected value"
F30 Wald / sum of a random number of independent RVs,Random sums,S = X_1 + … + X_N with N random and independent of the X_i,E(S)=E(N)E(X_1); distribution via total probability or MGF,"Wald's identity, or tower law",F28,Using Wald when N is NOT independent of the X_i; using it for variance (needs the full formula),T11; Raviv §17.3; syllabus item 18,2024wA Q4a ('לפי נוסחת וואלד' and the tower-law alternative); 2017spB Q7; 2019spA Q7,High,Examinable,"DOWNGRADED from Critical: its best specimen (2024wA Q4a) now sits inside an otherwise excluded question, so coverage is thin. Still a named syllabus topic (item 18)"
F31 Poisson splitting / thinning,Poisson constructions,N ~ Pois(λ); each of the N items is independently 'type A' with probability p,"The type-A count ~ Pois(λp), and the type counts are INDEPENDENT","Quote splitting; or derive via total probability with Bin(n,p) inside","F30, F06",Forgetting that the split parts are independent (this is the whole point); using it when N is not Poisson,T5 (Poisson ×3); Raviv §3,"2024wA Q4b,c (both the one-line splitting route and the full derivation); 2024wB Q4b,c; 2021spB Q4 ('פיצול פואסון'); 2017spB Q5 (cars turning at a junction)",EXCLUDED,Excluded from Spring 2026 exam,Poisson processes are officially excluded. Retained in the historical inventory only
F32 Moment generating functions - identify a distribution from its MGF,MGF,'X has MGF M_X(t) = …'; 'find P(X=0)',"The name and parameters of X, then the requested quantity",Compare with the MGF table; use M_{X+b}(t)=e^{bt}M_X(t) and M_{aX}(t)=M_X(at); products mean independent sums,F11,"Forgetting that a product of MGFs = sum of independent RVs, and a convex combination of MGFs = a mixture; algebra slips with e^t",Raviv §9.8.1 (NOT covered in the Spring-2026 tutorials - self-study),2021spA Q4 (mixture of two Poisson MGFs); 2019spA Q10; 2019spB Q5; 2020spB-sol Q1'; 2020spA-sol Q10; 8598-sol Q9,EXCLUDED,Excluded from Spring 2026 exam,Moment generating functions are officially excluded. Retained in the historical inventory only
